entity_type,entity_id,address_raw,addr_line,locality,region,postal_code,country_iso3,source_accession,address_type,parse_confidence,addr_id
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1957489,,,,,,,0001213900-24-037882,,,34e09a1550d683a97319606c020d71c1
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-24-088712,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001013762-23-004641,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-22-065082,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-21-052933,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-20-032817,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-20-032817,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-20-032817,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-20-032817,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-20-032817,,,7968b7f43be36bb229a003f18d040b1b
parent,1724542,,,,,,,0001213900-20-032817,,,7968b7f43be36bb229a003f18d040b1b
