parent_ticker,parent_cik10,accession,exhibit_year,address_raw,address_type,source_path,parse_confidence,address_note
BABA,0001577552,0000950170-25-090161,2025,"26/F TOWER ONE, TIMES SQUARE, 1 MATHESON STREET, CAUSEWAY BAY K3 00000",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001577552&accession_number=0000950170-25-090161&xbrl_type=r,High,852-2215-5100
PDD,0001737806,0001410578-25-000951,2024,"FIRST FLOOR, 25 ST STEPHEN'S GREEN, DUBLIN 2 L2 D02 XF99, 353 1 5397938",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001737806&accession_number=0001410578-25-000951&xbrl_type=r,High,
NTES,0001110646,0001410578-25-000728,2024,"NETEASE BUILDING, NO. 599 WANGSHANG RD, BINJIANG DISTRICT, HANGZHOU F4 310052, 86 571 8985 3378",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001110646&accession_number=0001410578-25-000728&xbrl_type=r,High,
JD,0001549802,0001193125-25-083473,2024,"20TH FLOOR, BUILDING A, NO. 18 KECHUANG, YIZHUANG BDA, DAXING DISTRICT, BEIJING F4 101111",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001549802&accession_number=0001193125-25-083473&xbrl_type=r,High,86-10-5895-5500
TCOM,0001269238,0001193125-25-078429,2024,"SINGAPORE U0 048622, 6531389736",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001269238&accession_number=0001193125-25-078429&xbrl_type=r,High,"30 RAFFLES PLACE, #29-01"
BIDU,0001329099,0001193125-25-066199,2024,"BAIDU CAMPUS, NO. 10 SHANGDI 10TH STREET, HAIDIAN DISTRICT, BEIJING F4 100085",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001329099&accession_number=0001193125-25-066199&xbrl_type=r,High,(86-10) 5992 8888
LI,0001791706,0001410578-25-000678,2024,"11 WENLIANG STREET, SHUNYI DISTRICT, BEIJING F4 101399, 861087427209",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001791706&accession_number=0001410578-25-000678&xbrl_type=r,High,
BEKE,0001809587,0001410578-25-000783,2024,"ORIENTAL ELECTRONIC TECHNOLOGY BUILDING, NO. 2 CHUANGYE ROAD, HAIDIAN DISTRICT, BEIJING F4 100086, 861058104689",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001809587&accession_number=0001410578-25-000783&xbrl_type=r,High,
ONC,0001651308,,,,other,https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001651308&action=filing,Low,
TME,0001744676,0000950170-25-056949,2024,"UNIT 3, BUILDING D, KEXING SCIENCE PARK, KEJIZHONGSAN AVENUE, HI-TECH PARK, NANSHAN DISTRICT, SHENZHEN F4 518057, 86 755 86013388",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001744676&accession_number=0000950170-25-056949&xbrl_type=r,High,
XPEV,0001810997,0001193125-25-082001,2024,"NO. 8 SONGGANG ROAD, CHANGXING STREET, CENCUN, TIANHE DISTRICT, GUANGZHOU, GUANGDONG F4 510640",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001810997&accession_number=0001193125-25-082001&xbrl_type=r,High,86-020-6680-6680
YUMC,0001673358,,,,other,https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001673358&action=filing,Low,
ZTO,0001677250,0001410578-25-000774,2024,"BUILDING ONE, NO. 1685 HUAZHI ROAD, QINGPU DISTRICT, SHANGHAI F4 201708, 8621 59139988",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001677250&accession_number=0001410578-25-000774&xbrl_type=r,High,
YMM,0001838413,0001193125-25-079553,2024,"BUILDING #3, WANBO R&D PARK, 20 FENGXIN ROAD, YUHUATAI DISTRICT, NANJING, JIANGSU PROVINCE F4 210012",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001838413&accession_number=0001193125-25-079553&xbrl_type=r,High,86-025-66920156
HTHT,0001483994,0001410578-25-000900,2024,"NO. 1299 FENGHUA ROAD, JIADING DISTRICT, SHANGHAI F4 00000",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001483994&accession_number=0001410578-25-000900&xbrl_type=r,High,86 21 6195-2011
BILI,0001723690,0001193125-25-061847,2024,"17TH FLOOR, BUILDING 3, GUOZHENG CENTER, NO. 485 ZHENGLI ROAD, YANGPU DISTRICT, SHANGHAI F4 200433",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001723690&accession_number=0001193125-25-061847&xbrl_type=r,High,86-21-25099255
NIO,0001736541,0001410578-25-000661,2024,"BUILDING 19, NO. 1355, CAOBAO ROAD, MINHANG DISTRICT, SHANGHAI F4 200233",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001736541&accession_number=0001410578-25-000661&xbrl_type=r,High,(86)(21) 69082018
TAL,0001499620,0001410578-25-001415,2025,"4/F, TAL BUILDING NO.1, COURTYARD NO. 9, QIXIN MIDDLE STREET, CHANGPING DISTRICT, Beijing F4 102206",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001499620&accession_number=0001410578-25-001415&xbrl_type=r,High,86 (10) 5292-6669
EDU,0001372920,0001193125-25-216394,2025,"NO. 6 HAI DIAN ZHONG STREET, 9TH FLOOR, BEIJING",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001372920&accession_number=0001193125-25-216394&xbrl_type=r,High,(86-10) 6260-5566
ZK,0001954042,0001410578-25-000390,2024,"RM2301 BLDG1, DADAO WANGCHAO SHANGWU CTR, YINGFENG ST, XIAOSHAN DISTRICT, HANGZHOU, ZHEJIANG PROVINCE F4 00000, 86 400 003 6036",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001954042&accession_number=0001410578-25-000390&xbrl_type=r,High,
BZ,0001842827,0001410578-25-000682,2024,"GRANDYVIC BLDG, TAIYANGGONG MID RD, CHAOYANG DIST, BEIJING F4 100020",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001842827&accession_number=0001410578-25-000682&xbrl_type=r,High,86-10-8415-0633
GDS,0001526125,0001410578-25-000935,2024,"F4/F5, BUILDING C, SUNLAND INTERNATIONAL, NO. 999 ZHOUHAI ROAD, PUDONG,, SHANGHAI F4 200137",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001526125&accession_number=0001410578-25-000935&xbrl_type=r,High,86-21-2029-2200
QFIN,0001741530,0001410578-25-000441,2024,"7/F LUJIAZUI FINANCE PLAZA, NO. 1217 DONGFANG ROAD, PUDONG NEW AREA, SHANGHAI F4 200122, 862161516360",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001741530&accession_number=0001410578-25-000441&xbrl_type=r,High,
MNSO,0001815846,0001410578-25-000858,2024,"8F, M PLAZA, NO. 109, PAZHOU AVENUE, HAIZHU DISTRICT, GUANGZHOU 510000, GUANGDONG PROVINCE F4 510000, 862036228788",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001815846&accession_number=0001410578-25-000858&xbrl_type=r,High,
PONY,0001969302,0001410578-25-000895,2024,"1301 PEARL DEVELOPMENT BUILDING 1, MINGZHU 1ST ST, HENGLI TWN, NANSHA DIST, GUANGZHOU F4 511458",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001969302&accession_number=0001410578-25-000895&xbrl_type=r,High,86 020-3466 7656
WRD,0001867729,0001193125-25-062519,2024,"21ST FL, TOWER A, NO. 51, XINGJI 1ST RD, GUANZHOU LIFE SCIENCE CENTER, GUANZHOU F4 510300, 86 150 1055 1533",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001867729&accession_number=0001193125-25-062519&xbrl_type=r,High,
KC,0001795589,0001410578-25-000732,2024,"KINGSOFT TOWER, NO. 33 XIAO YING WEST ROAD, HAIDIAN DISTRICT, BEIJING F4 00000, 86 10 8232 5655",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001795589&accession_number=0001410578-25-000732&xbrl_type=r,High,
ATAT,0001853717,0001410578-25-000890,2024,"18TH FLOOR, WUZHONG BUILDING, 618 WUZHONG ROAD, MINHANG DISTRICT, SHANGHAI F4 00000",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001853717&accession_number=0001410578-25-000890&xbrl_type=r,High,(86) 021-64059928
ZLAB,0001704292,0001564590-20-019745,2019,"4560 JINKE ROAD, BLDG. 1, 4F, PUDONG, SHANGHAI F4 201210, 862161632588",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001704292&accession_number=0001564590-20-019745&xbrl_type=r,High,
ATHM,0001527636,0000950170-25-053940,2024,"18TH FLOOR TOWER B, CEC PLAZA, 3 Dan Ling Street, Haidian District, Beijin F4 100080, 8610 5985 7001",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001527636&accession_number=0000950170-25-053940&xbrl_type=r,High,
VNET,0001508475,0001410578-25-000905,2024,"GUANJIE BUILDING, SOUTHEAST 1ST FLOOR, 10# JIUXIANQIAO EAST ROAD, Beijing F4 100016",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001508475&accession_number=0001410578-25-000905&xbrl_type=r,High,(86 10) 8456-2121
HCM,0001648257,0001410578-25-000377,2024,"48TH FLOOR, CHEUNG KONG CENTER, 2 QUEEN'S ROAD CENTRAL, HONG KONG K3 00000",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001648257&accession_number=0001410578-25-000377&xbrl_type=r,High,852-2121-3888
TUYA,0001829118,0001410578-25-000850,2024,"HUACE CENTER, XIHU DISTRICT, HANGZHOU F4 00000, 86 0571 8691 5981",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001829118&accession_number=0001410578-25-000850&xbrl_type=r,High,"FLOOR 7-12, BLOCK A"
LU,0001816007,0001193125-24-106025,2023,"BUILDING NO. 6, LANE 2777 JINXIU EAST RD, PUDONG NEW DISTRICT, SHANGHAI F4 200120",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001816007&accession_number=0001193125-24-106025&xbrl_type=r,High,86-2138632121
WB,0001595761,0001410578-25-000730,2024,"8/F, QIHAO PLAZA, NO. 8 XINYUAN S. ROAD,, CHAOYANG DISTRICT, BEIJING F4 100027",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001595761&accession_number=0001410578-25-000730&xbrl_type=r,High,86 10 6061-8000
YY,PENDING,,,,other,,Low,
IQ,0001722608,0000950170-25-045691,2024,"3/F, IQIYI YOUTH CENTER YOOLEE PLAZA, NO. 21, NORTH ROAD OF WORKERS STADIUM, CHAOYANG DISTRICT BEIJING F4 100027, 861062677171",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001722608&accession_number=0000950170-25-045691&xbrl_type=r,High,
HSAI,0001861737,0001410578-25-000614,2024,"1588 ZHUGUANG ROAD, SHANGHAI F4 201702, 86 21 31588240",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001861737&accession_number=0001410578-25-000614&xbrl_type=r,High,"9TH FLOOR, BUILDING L2-B"
FINV,0001691445,0001641172-25-005409,2024,"BUILDING G1, NO. 999 DANGUI ROAD, PUDONG NEW DISTRICT, SHANGHAI F4 201203",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001691445&accession_number=0001641172-25-005409&xbrl_type=r,High,86 21 80303200-8601
LZMH,0001967397,0001213900-25-055265,2024,"SIMING DISTRICT, XIAMEN, FUJIAN F4 361008",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001967397&accession_number=0001213900-25-055265&xbrl_type=r,High,0592-2950080
AAPG,0002023311,0001213900-25-032599,2024,"68 XINQING ROAD, SUZHOU INDUSTRIAL PARK, SUZHOU , JIANGSU F4 00000, 86 512 8555 7777",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0002023311&accession_number=0001213900-25-032599&xbrl_type=r,High,
ACMR,0001680062,,,,other,https://www.sec.gov/cgi-bin/browse-edgar?CIK=0001680062&action=filing,Low,
LX,0001708259,0000950170-25-055749,2024,"27/F, CES TOWER, 3099 KE YUAN SOUTH ROAD, NANSHAN DISTRICT, SHENZHEN F4 518000, 8675533688788",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001708259&accession_number=0000950170-25-055749&xbrl_type=r,High,
EH,0001759783,0001193125-25-080649,2024,"BUILDING #C, YIXIANG TECHNOLOGY PARK, NO.72, NANXIANG 2ND ROAD, GUANGZHOU F4 510700, 8602029028899",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001759783&accession_number=0001193125-25-080649&xbrl_type=r,High,
TIGR,0001756699,0000950170-25-056953,2024,"18F,NO.16 TAIYANGGONG RD,CHAOYANG DIST., BEIJING F4 100020",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001756699&accession_number=0000950170-25-056953&xbrl_type=r,High,86-10-56216660
MOMO,0001610601,0001193125-25-098265,2024,"20/F, BLOCK B, TOWER 2, WANGJING SOHO, NO.1 FUTONGDONG STREET,CHAOYANG DISTRICT, BEIJING F4 100102, 861057310567",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001610601&accession_number=0001193125-25-098265&xbrl_type=r,High,
DQ,0001477641,0001410578-25-000968,2024,"666 LONGDU AVENUE, WANZHOU, CHONGQING",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001477641&accession_number=0001410578-25-000968&xbrl_type=r,High,(86-23) 6486-6666
JKS,0001481513,0001410578-25-000970,2024,"1 YINGBIN ROAD, SHANGRAO ECONOMIC DEVELOPMENT ZONE, JIANGXI PROVINCE F4 334100",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001481513&accession_number=0001410578-25-000970&xbrl_type=r,High,(86-793)858-8188
BGM,0001779578,0001410578-25-000056,2024,"NO. 152 HONGLIANG EAST 1ST STREET, NO. 1703, TIANFU NEW DISTRICT, CHENGDU F4 610200",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001779578&accession_number=0001410578-25-000056&xbrl_type=r,High,86-028-64775180
HUYA,0001728190,0001410578-25-000781,2024,"PANYU DISTRICT, GUANGZHOU F4 511446",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001728190&accession_number=0001410578-25-000781&xbrl_type=r,High,(86)(20)22907829
GOTU,0001768259,0000950170-25-056468,2024,"5F, GIENTECH BUILDING, 17 EAST ZONE, 10 XIBEIWANG EAST ROAD, HAIDIAN, BEIJING F4 100193, 861082826826",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001768259&accession_number=0000950170-25-056468&xbrl_type=r,High,
NOAH,0001499543,0001410578-25-000852,2024,"NO. 1687 CHANGYANG ROAD, CHANGYANG VALLEY, BUILDING 2, SHANGHAI F4 200090",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001499543&accession_number=0001410578-25-000852&xbrl_type=r,High,(86-21) 8035-9221
UXIN,0001729173,0001641172-25-006780,2024,"NO.8 GUANGSHUN S AVENUE, CHAOYANG DISTRI, BEIJING F4 100102, 861056312700",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001729173&accession_number=0001641172-25-006780&xbrl_type=r,High,"2-5/F, TOWER E, LSHM CENTER"
RERE,0001838957,0000950170-25-053014,2024,"12TH FLOOR, NO.6 BUILDING, 433 SONGHU ROAD, SHANGHAI F4 200000, 86 21 52907031",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001838957&accession_number=0000950170-25-053014&xbrl_type=r,High,
MSC,0001713334,0001193125-25-059760,2024,"C/O 38/F, THE CENTRIUM, 60 WYNDHAM STREET, HONG KONG K3 999077, 85225983600",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001713334&accession_number=0001193125-25-059760&xbrl_type=r,High,
DDL,0001854545,0000950170-25-055994,2024,"NO. 6 BUILDING, 500 LANE, SHENGXIA ROAD, SHANGHAI F4 201210, 86 021 68585011",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001854545&accession_number=0000950170-25-055994&xbrl_type=r,High,
CSIQ,0001375877,0001410578-25-001046,2024,"4273 KING STREET EAST, SUITE 102, KITCHENER A6 N2P 2E9",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001375877&accession_number=0001410578-25-001046&xbrl_type=r,High,519-837-1881
YALA,0001794350,0000950170-25-056954,2024,"#238, BUILDING 16, DUBAI INTERNET CITY, DUBAI C0 00000",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001794350&accession_number=0000950170-25-056954&xbrl_type=r,High,86-571-89807962
GCT,0001857816,0001193125-23-112830,2022,"UNIT A, 12/F, SHUN HO TOWER",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001857816&accession_number=0001193125-23-112830&xbrl_type=r,High,852-23698219
FLX,0001858724,0001641172-25-006073,2024,"BLDG 6, ZHONGGUANCUN DONGSHEN INT SCI PK, NO.1 YONGTAIZHUANG NORTH HAIDAN DISTRICT, BEIJING F4 100192, 861062923966",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001858724&accession_number=0001641172-25-006073&xbrl_type=r,High,
YRD,0001631761,0001410578-25-000931,2024,"10/F, BUILDING 9, 91 JIANGUO ROAD, CHAOYANG DISTRICT, BEIJING F4 100022",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001631761&accession_number=0001410578-25-000931&xbrl_type=r,High,86-10-5236-1830
ZKH,0001862044,0001410578-25-000779,2024,"7/F, TOWER 4, LIBAO PLAZA, NO. 36 SHENBIN ROAD, MINHANG DISTRICT, SHANGHAI F4 201106, 86 21 50809696",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001862044&accession_number=0001410578-25-000779&xbrl_type=r,High,
XYF,0001725033,0001410578-25-000892,2024,"NO. 168 HAIDE THIRD AVENUE, NANSHAN DIST, SHENZHEN F4 518067",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001725033&accession_number=0001410578-25-000892&xbrl_type=r,High,86-0755-86282977
AHG,0001702318,0001213900-25-076862,2025,"NO. 44 MOSCOW RD QIANWAN BONDED PORT ARE, QINGDAO PILOT FREE TRADE ZONE F4 0000, 86 152 1005 4919",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001702318&accession_number=0001213900-25-076862&xbrl_type=r,High,RM 8201-4-4(A) 2ND FLOOR QIANTONGYUA BLD
QD,0001692705,0001410578-25-000822,2024,"BUILDING 1, QUDIAN INNOVATION PARK, MEILIN STREET, TONGAN DISTRICT, XIAMEN, FUJIAN PROVINCE F4 361100",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001692705&accession_number=0001410578-25-000822&xbrl_type=r,High,86-592-5968208
JFIN,0001743102,0000950170-25-058942,2024,"26TH FLOOR,BUILDING NO.1,YOUYOU CENTURY, PLAZA,428 SOUTH YANGGAO ROAD,PUDONG, SHANGHAI F4 200122, 86 2160828732",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001743102&accession_number=0000950170-25-058942&xbrl_type=r,High,
WYHG,0001999860,0001213900-25-037724,2024,"NO.9, GUANXIAN NORTH RD, HUANGPU TOWN, ZHONGSHAN CITY F4 528429",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001999860&accession_number=0001213900-25-037724&xbrl_type=r,High,(86)76023215457
ZH,0001835724,0001410578-25-000729,2024,"18 XUEQING ROAD, HAIDIAN DISTRICT, BEIJING F4 100083, 86 10 82716605",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001835724&accession_number=0001410578-25-000729&xbrl_type=r,High,
DADA,PENDING,,,,other,,Low,
SOHU,0001734107,0001193125-25-053425,2024,"LEVEL 18, SOHU.COM MEDIA PLAZA, BLOCK 3, NO. 2 KEXUEYUAN S. RD., HAIDIAN DISTRICT, BEIJING F4 100190",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001734107&accession_number=0001193125-25-053425&xbrl_type=r,High,86-10-6272-6666
WDH,0001823986,0001410578-25-000891,2024,"BLOCK C, WANGJING SCIENCE PARK, NO. 2 LIZE ZHONGER ROAD, CHAOYANG, BEIJING F4 100102, 861053394997",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001823986&accession_number=0001410578-25-000891&xbrl_type=r,High,
CAN,0001780652,0001410578-25-000805,2024,"28 AYER RAJAH CRESCENT, SINGAPORE U0 139959, 65 6305 6618",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001780652&accession_number=0001410578-25-000805&xbrl_type=r,High,#06-08
AAM,0002012964,,,,other,https://www.sec.gov/cgi-bin/browse-edgar?CIK=0002012964&action=filing,Low,
YSG,0001819580,0000950170-25-056464,2024,"NO.23 EAST XUANYUE STREET, GUANGZHOU F4 510330, 86 20 38373543",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001819580&accession_number=0000950170-25-056464&xbrl_type=r,High,"32-35, 38/F, POLY MIDTOWN PLAZA"
DOGZ,0001707303,0001493152-25-018363,2025,"NO. 16 N. DONGKE ROAD, TONGSHA INDUSTRIAL ZONE, DONGGUAN, GUANGDONG, 86 769 88753300",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001707303&accession_number=0001493152-25-018363&xbrl_type=r,High,
CANG,0001725123,0001410578-25-000492,2024,"8F, NEW BUND ORIENTAL PLAZA II, 556 WEST HAIYANG ROAD, PUDONG, SHANGHAI F4 200127",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001725123&accession_number=0001410578-25-000492&xbrl_type=r,High,86-21-3183-0016
JYD,0001938186,0001213900-25-034179,2024,"4TH FLOOR, BUILDING 4, SHATOUJIAO FTZ, SHENYAN ROAD, YANTIAN DISTRICT, SHENZHEN F4 518000",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001938186&accession_number=0001213900-25-034179&xbrl_type=r,High,(86)15218740808
MFH,0001527762,0001641172-25-007755,2024,"ROOM 003, FLOOR 15, BUILDING NO.1 B, NO. 38 ZHONGGUANCUN AVENUE, HAIDIAN DISTRICT, BEIJING F4 100086",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001527762&accession_number=0001641172-25-007755&xbrl_type=r,High,(8610) 6266 8858
ZJK,0001941506,0001731122-25-000613,2024,"NO.8 JINGQIANG RD, 138 INDUSTRIAL ZONE, XIUXIN CMTY, KENZI OFC, PS NEW DIST., SHENZHEN F4 518122, 8613682653192",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001941506&accession_number=0001731122-25-000613&xbrl_type=r,High,
EM,0001834253,0001410578-25-000928,2024,"6/F, 799 TIANSHAN W ROAD, CHANGNING DISTRICT, SHANGHAI F4 200335, 86 21 6050 3535",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001834253&accession_number=0001410578-25-000928&xbrl_type=r,High,
XNET,0001510593,0001410578-25-000871,2024,"3709 BAISHI ROAD, NANSHAN DISTRICT, SHENZHEN F4 518000",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001510593&accession_number=0001410578-25-000871&xbrl_type=r,High,86-755 6111-1571
XHG,0001769256,0001213900-25-005499,2024,"ROOM 1607, BUILDING A, NO. 596 MIDDLE LONGHUA ROAD, XUHUI, SHANGHAI F4 200032",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001769256&accession_number=0001213900-25-005499&xbrl_type=r,High,86-21-6417-9625
GHG,0001724755,0001213900-25-037718,2024,"1228 ZHONGSHAN NORTH ROAD, PUTUO DISTRICT, SHANGHAI F4 200065",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001724755&accession_number=0001213900-25-037718&xbrl_type=r,High,86-21-3617-4886
OCFT,0001780531,0001410578-25-000855,2024,"21/24F, PING AN FINANCE CENTER, NO. 5033 YITIAN ROAD, FUTIAN DISTRICT, SHENZHEN, GUANGDONG F4 518000",principal_office,https://www.sec.gov/cgi-bin/viewer?action=view&cik=0001780531&accession_number=0001410578-25-000855&xbrl_type=r,High,86-21-2066-0625
